KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE,kepid,kepmag,dutycycle,dataspan,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,cdppslplong,cdppslpshrt,r,logr
892376,3813,4.47,0.4699,1.532,0.007,   ,7306.69,0.823,0.4503,0,291.06387,36.63581,892376,13.96,0.8539999999999999,1458.931,246.765,236.574,238.376,235.929,237.438,236.839,236.915,238.575,240.7,243.73,247.166,251.98,253.735,262.89,0.12457,-0.00181,7306.69,3.863720681979767
1026146,4261,4.57,0.6472,14.891,0.12,   ,11742.56,1.405,0.7229,0,291.07007,36.7806,1026146,15.439,0.8737,1458.931,436.756,391.339,367.485,341.249,325.202,296.943,285.384,270.43,255.837,245.156,239.605,238.159,238.225,241.597,-0.08754,-0.62121,11742.56,4.069762787940008
1026474,4122,4.56,0.5914,1.569,0.006,   ,30471.8,1.204,0.6061,0,291.14911,36.72382,1026474,15.278,0.8609,1238.002,806.467,787.705,804.64,810.4629999999999,825.057,837.6309999999999,840.818,854.767,875.222,877.1599999999999,881.5929999999998,880.321,879.388,865.9919999999998,-0.00908,0.17493,30471.8,4.483898109194061
1162635,3760,4.77,0.4497,15.678,0.019,   ,10207.47,0.978,0.5445,1,291.33484,36.80644,1162635,15.802,0.8738,1458.931,564.235,502.136,472.796,440.014,419.967,384.037,370.136,349.51,326.877,313.271,303.525,298.164,297.525,292.135,-0.1632299999999999,-0.6015399999999999,10207.47,4.0089181121949755
1164102,4045,4.62,0.5606,31.496,0.474,   ,5139.74,0.568,0.3939,0,291.65097,36.83684,1164102,15.274,0.8736,1458.931,393.805,344.226,318.799,291.71,274.756,245.973,233.741,215.008,194.766,181.963,171.823,163.446,161.779,150.936,-0.36684,-0.7170699999999999,5139.74,3.7109411502362764
1292688,3774,4.74,0.455,42.659,2.131,   ,6320.15,0.53,0.3172,1,290.92023,36.91717,1292688,15.823,0.8738,1458.931,548.883,480.933,444.589,407.879,384.18,344.441,328.378,303.504,275.841,256.036,241.433,229.606,226.107,209.922,-0.3905899999999999,-0.7131699999999999,6320.15,3.8007273857822623
1297303,4296,4.61,0.6613,27.333,0.193,   ,6189.53,0.777,0.5124,0,291.95847,36.99961,1297303,15.494,0.8735,1458.931,433.115,388.194,366.452,341.158,325.199,296.926,285.782,268.736,249.457,236.597,226.834,219.545,217.717,209.01,-0.25589,-0.60669,6189.53,3.7916576722582227
1429921,4217,4.72,0.6295,23.131,0.11,   ,15370.91,0.943,0.5839,0,290.83389,37.07471,1429921,15.828,0.8737,1458.931,592.831,534.893,505.553,471.313,448.568,408.4,392.044,370.488,345.89,325.198,312.913,305.23,303.235,298.598,-0.2152999999999999,-0.6140499999999999,15370.91,4.186699579684495
1430349,4285,4.54,0.6569,34.717,0.752,   ,3244.49,0.376,0.2563,0,290.93961,37.00636,1430349,15.142,0.8736,1458.931,307.34,269.615,249.801,230.496,217.968,197.869,189.555,176.925,162.849,153.758,146.869,142.035,141.056,135.214,-0.2687399999999999,-0.66958,3244.49,3.5111464399367476
1430893,3925,4.72,0.5133,17.045,0.026,   ,13583.24,1.429,0.7204,1,291.08667,37.07256,1430893,15.41,0.8737,1458.931,431.979,393.626,376.571,355.438,342.663,319.961,309.225,294.381,276.154,263.942,255.238,250.315,249.902,246.704,-0.16649,-0.49245,13583.24,4.133003374236758
