KOI,KIC,Teff,log(g),Prot,e_Prot,Rvar,LPH,w,D,N,C,G,T,F,R,M1,M2,Simbad,_RA,_DE,kepid,kepmag,r,logr
3,10748390,4766,4.59, 29.31, 0.49,12246, 0.607229, 0.431926,0,1,0,0,0,0,0,0,0,Simbad,297.70935,48.08085,10748390,9.174,12246.0,4.087994255099714
42,8866102,6170,4.1, 20.85, 0.09, 1113, 1.022954, 0.524315,0,0,0,0,0,0,0,0,0,Simbad,283.1507,45.13983,8866102,9.364,1113.0,3.0464951643347082
49,9527334,6000,4.5,  8.59, 0.03,15673, 1.232175, 0.684449,0,0,0,0,0,0,0,0,0,Simbad,292.24902,46.16482,9527334,13.704,15673.0,4.195152133593287
82,10187017,4908,4.7, 26.40, 0.48, 4053, 0.715318, 0.493294,0,0,0,0,0,0,0,0,0,Simbad,281.48273,47.20803,10187017,11.492,4053.0,3.607776603741693
85,5866724,6006,4.074,  7.88, 0.21,  269, 0.677549, 0.457439,0,0,0,0,0,0,0,0,0,Simbad,288.68869,41.15118,5866724,11.018,269.0,2.429752280002408
92,7941200,5850,4.28, 16.18, 1.56,  990, 0.315801, 0.252263,0,0,0,0,0,0,0,0,0,Simbad,283.37482,43.78822,7941200,11.667,990.0,2.99563519459755
98,10264660,6395,4.11,  2.61, 0.51,  434, 0.349807, 0.265961,0,0,0,0,0,0,0,0,0,Simbad,287.70883,47.33305,10264660,12.128,434.0,2.637489729512511
100,4055765,6440,3.688,  1.12, 0.01,  876, 0.454565, 0.330680,0,0,0,0,0,0,0,0,0,Simbad,291.17792,39.19949,4055765,12.598,876.0,2.9425041061680806
103,2444412,5531,4.4, 23.28, 0.40, 2619, 0.484030, 0.349231,0,0,0,0,0,0,0,0,0,Simbad,291.68335,37.75159,2444412,12.593,2619.0,3.418135498425232
107,11250587,5816,4.459, 17.58, 0.80,  670, 0.485209, 0.359023,0,0,0,0,0,0,0,0,0,Simbad,294.83517,48.98236,11250587,12.702,670.0,2.8260748027008264
139,8559644,5921,4.558, 16.91, 0.27, 1170, 0.445690, 0.319397,0,0,0,0,0,0,0,0,0,Simbad,291.65317,44.68827,8559644,13.492,1170.0,3.0681858617461617
156,10925104,4450,4.54, 34.92, 1.47, 4291, 0.537733, 0.368060,0,0,0,0,0,0,0,0,0,Simbad,294.12143,48.34952,10925104,13.738,4291.0,3.632558514532672
180,9573539,5680,4.66, 15.59, 0.05,10983, 0.963601, 0.587466,0,0,0,0,0,0,0,0,0,Simbad,284.39429,46.24908,9573539,13.024,10983.0,4.040720983601194
